iter	Passed	Remaining
0	89	26708
1	172	25736
2	253	25115
3	338	25013
4	420	24815
5	505	24760
6	596	24948
7	683	24942
8	770	24920
9	857	24855
10	940	24711
11	1034	24832
12	1122	24775
13	1204	24606
14	1294	24603
15	1374	24402
16	1461	24323
17	1549	24270
18	1632	24148
19	1716	24034
20	1800	23917
21	1883	23802
22	1975	23795
23	2069	23794
24	2159	23749
25	2248	23694
26	2344	23700
27	2424	23549
28	2510	23459
29	2597	23373
30	2680	23262
31	2763	23146
32	2838	22967
33	2918	22835
34	3007	22772
35	3085	22630
36	3165	22503
37	3256	22449
38	3334	22317
39	3414	22196
40	3495	22078
41	3579	21987
42	3673	21956
43	3757	21861
44	3837	21745
45	3918	21635
46	3998	21525
47	4082	21433
48	4164	21330
49	4249	21249
50	4327	21127
51	4412	21042
52	4490	20927
53	4561	20781
54	4648	20707
55	4733	20623
56	4816	20533
57	4893	20419
58	4974	20317
59	5054	20219
60	5139	20138
61	5225	20058
62	5307	19967
63	5384	19854
64	5464	19756
65	5540	19645
66	5618	19538
67	5699	19445
68	5782	19358
69	5854	19235
70	5941	19163
71	6028	19089
72	6108	18995
73	6186	18894
74	6270	18812
75	6348	18711
76	6427	18615
77	6506	18517
78	6587	18427
79	6672	18350
80	6746	18240
81	6827	18150
82	6910	18066
83	6999	17997
84	7083	17918
85	7169	17840
86	7257	17767
87	7334	17668
88	7418	17588
89	7514	17534
90	7600	17456
91	7681	17367
92	7760	17273
93	7839	17179
94	7933	17118
95	8018	17038
96	8129	17013
97	8233	16971
98	8329	16911
99	8421	16842
100	8500	16748
101	8597	16689
102	8707	16653
103	8825	16633
104	8924	16574
105	9011	16492
106	9097	16410
107	9178	16318
108	9271	16246
109	9351	16152
110	9423	16045
111	9514	15970
112	9590	15871
113	9665	15769
114	9750	15685
115	9833	15597
116	9918	15513
117	9991	15411
118	10068	15313
119	10147	15221
120	10230	15134
121	10307	15038
122	10383	14941
123	10466	14855
124	10537	14752
125	10616	14660
126	10704	14582
127	10787	14495
128	10871	14410
129	10954	14325
130	11041	14244
131	11132	14168
132	11227	14097
133	11315	14017
134	11386	13917
135	11471	13832
136	11546	13737
137	11628	13650
138	11710	13563
139	11790	13474
140	11868	13383
141	11949	13296
142	12024	13202
143	12113	13122
144	12195	13036
145	12275	12948
146	12352	12856
147	12432	12768
148	12510	12678
149	12598	12598
150	12681	12513
151	12765	12429
152	12858	12354
153	12942	12269
154	13023	12183
155	13098	12090
156	13178	12003
157	13253	11911
158	13326	11818
159	13406	11730
160	13480	11638
161	13557	11548
162	13637	11461
163	13722	11379
164	13797	11289
165	13877	11202
166	13953	11112
167	14058	11046
168	14147	10966
169	14224	10877
170	14311	10796
171	14392	10710
172	14466	10619
173	14541	10530
174	14617	10441
175	14702	10358
176	14802	10286
177	14892	10207
178	14971	10120
179	15056	10037
180	15129	9947
181	15202	9856
182	15285	9772
183	15359	9682
184	15440	9597
185	15518	9511
186	15597	9425
187	15671	9336
188	15750	9250
189	15840	9170
190	15920	9085
191	15997	8998
192	16078	8914
193	16157	8828
194	16233	8741
195	16319	8659
196	16409	8579
197	16495	8497
198	16582	8416
199	16662	8331
200	16733	8241
201	16804	8152
202	16888	8069
203	16969	7985
204	17053	7902
205	17128	7816
206	17211	7732
207	17284	7645
208	17354	7556
209	17434	7472
210	17517	7388
211	17594	7303
212	17678	7220
213	17759	7137
214	17856	7059
215	17950	6980
216	18035	6898
217	18143	6824
218	18259	6753
219	18375	6681
220	18457	6597
221	18538	6513
222	18612	6426
223	18696	6343
224	18777	6259
225	18851	6172
226	18925	6086
227	19012	6003
228	19096	5920
229	19178	5836
230	19254	5751
231	19330	5665
232	19413	5582
233	19488	5496
234	19560	5410
235	19635	5324
236	19708	5238
237	19791	5155
238	19869	5071
239	19945	4986
240	20023	4902
241	20108	4819
242	20185	4734
243	20277	4653
244	20352	4569
245	20427	4483
246	20504	4399
247	20571	4313
248	20644	4228
249	20722	4144
250	20802	4060
251	20901	3981
252	20996	3900
253	21090	3819
254	21183	3738
255	21270	3655
256	21373	3576
257	21472	3495
258	21575	3415
259	21668	3333
260	21755	3250
261	21862	3170
262	21949	3087
263	22023	3003
264	22098	2918
265	22181	2835
266	22260	2751
267	22339	2667
268	22432	2585
269	22514	2501
270	22586	2417
271	22666	2333
272	22739	2248
273	22821	2165
274	22908	2082
275	22988	1998
276	23072	1915
277	23145	1831
278	23230	1748
279	23310	1665
280	23405	1582
281	23488	1499
282	23571	1415
283	23653	1332
284	23744	1249
285	23829	1166
286	23910	1083
287	23985	999
288	24059	915
289	24135	832
290	24218	749
291	24320	666
292	24407	583
293	24508	500
294	24600	416
295	24685	333
296	24779	250
297	24868	166
298	24950	83
299	25028	0
